Questions,Answer 1,Answer 2,Answer 3,,,,,
Is Django better than Flask?,"Yes, Django is better than Flask and much more widely used compared to Flask.",Django is loaded with more features which makes it more robust to use.,,,,,,
Which is the best language to start coding?,Python is widely considered as the simplest coding language and its syntax is very similar to English thus it is good for beginners.,,,,,,,
Is TCS a good company to work for data science?,The projects in TCS are related to interprise software and thus do not have much use of data science concepts,"No, work in companies like google and tesla for data science jobs.",,,,,,
Is it worth working​ in LTI as a fresher for 2 years?,No it is not a great experience. There is no work life balance and the salary doesnt increase at all in 2 years.,"Yes, the training provided is good and the team is very helpful. Great for beginners.",,,,,,
Best colleges in the US for data science?,"University of New Haven, Northwestern university, UCLA",,,,,,,
Which is the best committee to join in SFIT?,E-Cell has very good work ethic and lot of opportunities to organise major events. IEEE has global recognition,IEEE as a certificate is globally recognised.,,,,,,
Is Ireland a good country for data science engineers?,"Yes, Ireland has a budding industry for data science engineers and it has various reputed universities too for the courses",I would say stick to the US as job opportunities are much better.,,,,,,
Is .Net used in any company that comes to SFIT?,"Yes .Net is used in multiple companies that come to SFIT for recruitment. eg. LTI, Finacus, etc",,,,,,,
What is it like working with Ecell?,"Ecell is a dynamic committee, so basically you get experience in marketing,publicity, organzing events etc.",,,,,,,
How can I get internships ,"You can find good internships in websites like glassdoor,linkedIn,youintern.com, internshala.",During my college days internshala was one place everyone would find interships from but the problem is you might not find internships which have a technical aspect in it.,Internshaala would be the best place to find internships.,,,,,
Which are some good libraries for data science in Python?,"NumPy, SciPy, Pandas.",,,,,,,
How to get a job in Google India?,"Work on your competitive coding skills, and computer network,OS concepts.",The starting salary as a fresher is 3.5 Lakhs per annum or 6.5 L if you pass the coding the test,,,,,,
Can I work as an intern in Google India,Yes there are various internship opportunities available on their website.,,,,,,,
Which courses do you recommend to improve coding skills.,"You code find some great programming courses on coursera,udemy,etc", I would suggest you start with one coding language's basics and then look for courses.,,,,,, 
What is the starting salary at Capgemini,The starting salary as a fresher is 3.8 Lakhs per annum,,,,,,,
How long is the training in Capgemini?,It's of total 6 months approx. ,You have 3 months of online training which when you pass you are given 3 months more training based on the project/ domain you will be working further.,,,,,,
What is the  training in accenture like?,"Training in Accenture includes 45 days on initial online training which will include basics of sql,java,xml,etc. It is also domain specific.",,,,,,,
"What should I choose, higher studies or try looking for a job?","It depends on what you want really, if you desire for more knowledge, then go for higher studies else looking for a job is a suitable option.",,,,,,,
What is the starting salary at Accenture?,The starting salary as a fresher in Accenture is around 4 to 4.5Lakhs per annum,,,,,,,
Does work experience have any weightage to your CV when applying for Masters in the US,Work experience surely adds weightage to your cv but it also depends on the field of Masters you choose to do.,It will matter and you might also be preferred during your interviews after your Masters,,,,,,
How will I know that I am working in the right place? What are the tick boxes I should be aware of?,"There are lot of companies to choose from these days, but you should keep an eye out and things like integrity, proximity, what all they do for the employee, etc",,,,,,,
Is internship a must? Can we go ahead with our careers without doing one?,"Internships are not really a must per say, but having done some, they will give you a boost when it comes to interviews and job changes.",,,,,,,
